51,CAFÉ CAPUCHINO,51,25,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
52,CAFÉ LECHERO,52,20,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
53,CHOCOLATE,53,20,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
54,TE,54,15,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
55,CAFÉ DE OLLA,55,15,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
56,1800,56,80,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
57,TRADICIONAL,57,70,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
58,HORNITOS,58,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
59,CAZADORES,59,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
60,DON JULIO REPOSADO,60,75,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
61,100 AÑOS,61,50,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
62,TORRES 5,62,55,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
63,TORRES 10,63,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
64,ETIQUETA ROJA,64,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
65,JACK DANIELS,65,75,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
66,BUCHANAN´S,66,85,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
67,ABSOLUT AZUL,67,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
68,SMIRNOFF,68,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
69,BACARDI BLANCO,69,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
70,BACARDI SOLERA,70,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
71,MATUSALEN CLASICO,71,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
72,ANIS DULCE O SECO,72,55,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
73,LICOR 43,73,70,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
74,BAILEYS,74,70,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
75,MIDORI,75,50,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
76,AMARETO,76,70,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
